0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2610531525624014,0.31981426237344296,0.2835413757245882,-2.038093422717833,1.7539055061530353,2.6624977092652693,-0.4030224142720608
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7930033125360424,-1.3395546681487878,-0.8837513276703562,0.992260994216601,-0.55087963218117,-0.38602843979097634,-0.4030224142720608
0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2443901087551672,-1.3395546681487878,-0.9612453662679095,-0.1680962350525967,0.8903307249287286,3.274530058274271,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.024131360507469,0.31981426237344296,0.14304468374722418,-0.45578811007801745,0.020998778496259772,0.38890225306072573,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.508844244341062,1.3154356206867814,0.47805141260444683,0.15795455664288022,-0.5547177423199448,-0.504711518876372,-0.4030224142720608
1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.3545194828790164,-0.6758070959398955,0.47239434778682543,1.8433494578334715,-0.45684593378118993,-0.6187403595662623,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6828739384121932,-0.01205952373100319,-0.3219195478380953,-1.5729915580934022,0.5986343543818516,1.3825821505011968,-0.4030224142720608
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2256933981095624,-0.6758070959398955,-0.6512692118776966,-0.19207055797138212,-0.5547177423199448,-0.43582879062288754,-0.4030224142720608
1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8864696428526574,-0.01205952373100319,1.0535996372684748,-0.0074682714967362705,0.18411845939418436,0.5960158616607304,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.049630037200060505,-1.0076808820443417,-0.8817558561764692,1.311119489036443,-1.3185016599361092,-1.1004540335011042,-0.4030224142720608
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.00543464986186408,-0.34393330983544934,-0.5737751732801433,-0.37187797986227017,-0.5527986872505574,-0.43257082374603356,0.835210924313811
0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.024131360507469,-0.01205952373100319,-0.13548826448203155,-0.45578811007801745,0.02291783356564712,0.43660819661465927,-0.4030224142720608
1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6386785510739967,1.6473094067912277,-0.30254603818870696,0.5367488587596849,-0.556636797389332,-0.8747234713190768,-0.4030224142720608
0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.024131360507469,-0.01205952373100319,0.18179170304600079,1.5101063692623586,0.02291783356564712,-0.04626903691905902,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.049630037200060505,-1.0076808820443417,-0.2880933999902633,1.311119489036443,-1.3185016599361092,-1.1004540335011042,-0.4030224142720608
0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.5010168334191853,-1.3395546681487878,-0.9210840807647276,0.16754428581039404,-0.5604749075281067,-0.13167431147658867,-0.4030224142720608
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7379386254741178,0.31981426237344296,0.27865925129294233,0.8867739733739464,-0.45684593378118993,-0.6187403595662623,-0.4030224142720608
0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8314049557907328,0.6516880484778892,0.47239434778682543,0.040480374340833715,-0.048087204001684765,-0.39068267818648217,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6662108946049591,-0.6758070959398955,-0.3994135864356485,-1.1750177976415699,0.020998778496259772,0.4833832924894919,-0.4030224142720608
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2256933981095624,-1.0076808820443417,-0.49628113468259005,-0.19207055797138212,-0.5547177423199448,-0.43582879062288754,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0791960475693934,-0.34393330983544934,-0.031316903097270615,0.8148510046175919,-0.936609701128027,-0.7807078557298611,-0.4030224142720608
0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.712439948781526,0.9835618345823353,0.08492415479905924,-0.8705438965729994,0.9766882030511592,1.8712771820292973,-1.6412557528579326
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.426247213748175,-0.6758070959398955,-0.6900162311764731,-0.8873259226161491,0.9805263131899339,0.9171583109506248,2.0734442628996828
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5010168334191853,-0.6758070959398955,-0.30254603818870696,-0.37907027673790517,-0.556636797389332,-0.32086910225389637,-0.4030224142720608
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3436501831552883,0.31981426237344296,0.22053872234477742,-0.8010183601085229,1.3297943358184312,2.0271941682787387,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.024131360507469,2.31105697900012,-0.18142285586073126,-0.4797624329968029,0.020998778496259772,-0.525655591656148,-0.4030224142720608
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9857297172527784,-1.0076808820443417,0.16241819339661248,1.1025428796430126,-0.45684593378118993,-0.28130807589209766,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.5197135440647902,7.621037556671259,-0.6394126239722709,0.5631206139703483,-1.3242588251442713,-1.2400811853662759,-0.4030224142720608
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.12339143490759,-1.0076808820443417,-0.7287632504752498,-0.01945543295612898,0.9824453682593213,2.1272602937821117,-0.4030224142720608
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7379386254741178,0.9835618345823353,0.36777739568012857,-0.09617326629624129,-0.45684593378118993,-0.621067478764015,-0.4030224142720608
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9581973737218161,-1.0076808820443417,-0.9709321210926036,-0.6475826934282982,0.20138995501867052,0.4819870209708401,-0.4030224142720608
0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.17062871104763783,-1.3395546681487878,-0.7287632504752498,-0.6475826934282982,0.9018450553450527,0.8729430461933204,-0.4030224142720608
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.00543464986186408,-0.6758070959398955,-0.3994135864356485,-0.37187797986227017,-0.5527986872505574,-0.43257082374603356,0.835210924313811
